epoch_idx,is_clean,true_label,pred_label,correct,prob_left,prob_right,confidence,w_eeg,w_emg
0,0,1,1,1,0.67633975,0.32366022,0.67633975,0.14950119,0.85049886
1,1,1,1,1,0.62265116,0.37734884,0.62265116,0.2954525,0.70454746
2,1,1,2,0,0.4864353,0.51356477,0.51356477,0.2564844,0.7435156
3,1,1,1,1,0.6287571,0.37124297,0.6287571,0.19628373,0.8037163
4,1,1,1,1,0.52325934,0.47674066,0.52325934,0.65068066,0.34931925
5,1,1,1,1,0.5969169,0.40308312,0.5969169,0.23763509,0.76236486
6,1,1,2,0,0.32653004,0.6734699,0.6734699,0.2578427,0.74215734
7,1,1,1,1,0.5353357,0.46466425,0.5353357,0.24223363,0.75776637
8,1,1,1,1,0.6817946,0.3182055,0.6817946,0.21580447,0.78419554
9,1,1,1,1,0.78129345,0.21870656,0.78129345,0.65754735,0.34245265
10,1,1,1,1,0.6345874,0.36541256,0.6345874,0.43205044,0.56794953
11,1,1,1,1,0.5082721,0.49172795,0.5082721,0.32445604,0.67554396
12,1,1,1,1,0.76976854,0.23023145,0.76976854,0.5001574,0.49984264
13,1,1,1,1,0.83114743,0.16885261,0.83114743,0.652623,0.34737697
14,1,1,2,0,0.49121323,0.5087868,0.5087868,0.19216025,0.80783975
15,1,1,2,0,0.35803732,0.6419627,0.6419627,0.3037765,0.69622356
16,1,1,1,1,0.54062384,0.45937622,0.54062384,0.41268897,0.587311
17,1,1,1,1,0.78503305,0.21496692,0.78503305,0.5189423,0.48105767
18,1,1,1,1,0.8481334,0.15186663,0.8481334,0.54700375,0.4529962
19,1,1,1,1,0.57082856,0.42917135,0.57082856,0.8036173,0.1963827
20,1,1,1,1,0.7531349,0.24686503,0.7531349,0.3398677,0.66013235
21,1,1,1,1,0.59715956,0.40284044,0.59715956,0.4863274,0.5136726
22,1,1,1,1,0.7592597,0.24074028,0.7592597,0.2703271,0.7296729
23,1,1,2,0,0.37674162,0.6232584,0.6232584,0.31438035,0.68561965
24,1,1,2,0,0.48497462,0.5150254,0.5150254,0.2299589,0.77004117
25,1,1,1,1,0.67744404,0.322556,0.67744404,0.29109213,0.7089079
26,1,1,1,1,0.6520855,0.3479145,0.6520855,0.23756506,0.76243496
27,1,1,1,1,0.5827966,0.41720346,0.5827966,0.479598,0.52040195
28,1,1,1,1,0.8213592,0.1786408,0.8213592,0.37937957,0.62062037
29,1,1,1,1,0.63630533,0.36369467,0.63630533,0.81405634,0.18594368
30,1,1,1,1,0.53876597,0.46123397,0.53876597,0.8490216,0.15097839
31,1,1,2,0,0.46042854,0.53957146,0.53957146,0.38752258,0.6124774
32,1,1,1,1,0.6158184,0.38418156,0.6158184,0.5304344,0.46956554
33,1,1,1,1,0.77425945,0.22574054,0.77425945,0.4670795,0.53292054
34,1,1,1,1,0.77338654,0.22661345,0.77338654,0.5300502,0.4699498
35,1,1,1,1,0.5144262,0.48557383,0.5144262,0.20602213,0.79397786
36,1,1,1,1,0.8841438,0.1158562,0.8841438,0.69176596,0.308234
37,1,1,1,1,0.6092435,0.3907565,0.6092435,0.31441453,0.68558544
38,1,1,1,1,0.5961024,0.4038976,0.5961024,0.47225764,0.5277423
39,1,1,1,1,0.8026614,0.19733863,0.8026614,0.41478238,0.58521765
40,1,1,1,1,0.76160496,0.23839499,0.76160496,0.29715022,0.7028498
41,1,1,1,1,0.50603557,0.4939644,0.50603557,0.46734712,0.5326529
42,1,1,1,1,0.8257117,0.17428823,0.8257117,0.59032375,0.40967622
43,1,1,1,1,0.6035724,0.3964275,0.6035724,0.3566927,0.6433073
