epoch_idx,is_clean,true_label,pred_label,correct,prob_left,prob_right,confidence,w_eeg,w_emg
0,1,1,2,0,0.40537038,0.5946295,0.5946295,0.22945501,0.77054507
1,1,1,2,0,0.3697008,0.6302992,0.6302992,0.4108105,0.5891895
2,1,1,2,0,0.33424637,0.66575366,0.66575366,0.24343242,0.7565676
3,1,1,2,0,0.2751695,0.72483045,0.72483045,0.20279947,0.79720056
4,1,1,2,0,0.42273462,0.57726544,0.57726544,0.4000858,0.59991413
5,1,1,1,1,0.5251929,0.47480708,0.5251929,0.36767164,0.6323284
6,1,1,1,1,0.5816877,0.41831234,0.5816877,0.39709905,0.60290104
7,1,1,2,0,0.33890194,0.661098,0.661098,0.48518687,0.5148131
8,1,1,2,0,0.28899196,0.7110081,0.7110081,0.24749303,0.7525069
9,1,1,2,0,0.375683,0.624317,0.624317,0.25658435,0.7434156
10,1,1,1,1,0.5129224,0.48707756,0.5129224,0.46232536,0.53767467
11,1,1,2,0,0.34147263,0.65852743,0.65852743,0.25830922,0.74169075
12,1,1,2,0,0.13861726,0.86138266,0.86138266,0.1419424,0.8580576
13,1,1,2,0,0.34046778,0.6595322,0.6595322,0.37132135,0.6286786
14,1,1,2,0,0.3658801,0.6341199,0.6341199,0.44303828,0.55696166
15,1,1,1,1,0.51994294,0.480057,0.51994294,0.272625,0.72737503
16,1,1,2,0,0.3248592,0.67514086,0.67514086,0.20422858,0.79577136
17,1,1,1,1,0.5085101,0.49148986,0.5085101,0.27222034,0.7277796
18,1,1,2,0,0.41635886,0.5836411,0.5836411,0.5432255,0.4567744
19,1,1,2,0,0.30325517,0.69674486,0.69674486,0.28619453,0.7138055
20,1,1,1,1,0.5116214,0.48837864,0.5116214,0.22608413,0.7739159
21,1,1,1,1,0.5024181,0.49758193,0.5024181,0.70439976,0.2956002
22,1,1,2,0,0.23265785,0.76734215,0.76734215,0.49896488,0.50103515
23,1,1,2,0,0.31485844,0.6851416,0.6851416,0.45231923,0.5476808
24,1,1,2,0,0.41829604,0.581704,0.581704,0.37916934,0.62083066
25,1,1,1,1,0.50566655,0.49433345,0.50566655,0.3559812,0.6440188
26,1,1,1,1,0.7356678,0.26433218,0.7356678,0.5492231,0.4507769
27,1,1,1,1,0.61144984,0.38855016,0.61144984,0.35526296,0.64473706
28,1,1,2,0,0.28306866,0.7169313,0.7169313,0.42088345,0.5791165
29,1,1,2,0,0.25644964,0.74355036,0.74355036,0.22812818,0.7718718
30,1,1,1,1,0.58540773,0.4145923,0.58540773,0.47744587,0.5225541
31,1,1,2,0,0.41743767,0.5825623,0.5825623,0.31464422,0.6853558
32,1,1,1,1,0.5365349,0.46346518,0.5365349,0.34378204,0.656218
33,1,1,2,0,0.29604328,0.7039567,0.7039567,0.30944175,0.6905583
34,1,1,2,0,0.41379976,0.5862002,0.5862002,0.28631917,0.7136808
35,1,1,2,0,0.24102518,0.75897473,0.75897473,0.26132125,0.73867875
36,1,1,2,0,0.41571456,0.58428544,0.58428544,0.24444112,0.7555589
37,1,1,1,1,0.6162821,0.38371783,0.6162821,0.43732283,0.56267715
38,1,1,2,0,0.46348158,0.53651845,0.53651845,0.33247504,0.667525
39,1,1,2,0,0.26482224,0.73517776,0.73517776,0.44516435,0.5548357
40,1,1,1,1,0.6235082,0.37649176,0.6235082,0.48031983,0.51968014
41,1,1,1,1,0.55918366,0.4408164,0.55918366,0.34366128,0.65633875
42,1,1,1,1,0.60884774,0.3911522,0.60884774,0.38373315,0.61626685
43,1,1,1,1,0.81275654,0.18724352,0.81275654,0.5253116,0.47468844
44,1,1,1,1,0.81920755,0.18079244,0.81920755,0.62469167,0.37530833
45,1,1,1,1,0.6571802,0.34281987,0.6571802,0.40363994,0.59636
46,1,1,1,1,0.576901,0.42309895,0.576901,0.38719913,0.6128009
47,0,1,1,1,0.545199,0.454801,0.545199,0.33915976,0.6608402
48,1,1,2,0,0.39578688,0.6042131,0.6042131,0.24264188,0.75735813
49,1,1,1,1,0.8101229,0.18987714,0.8101229,0.5329718,0.46702817
50,1,1,2,0,0.19344415,0.8065558,0.8065558,0.598947,0.40105298
51,0,1,1,1,0.6418421,0.3581579,0.6418421,0.45765907,0.542341
52,1,1,1,1,0.75943524,0.2405647,0.75943524,0.57096374,0.42903623
53,1,1,1,1,0.60558045,0.39441958,0.60558045,0.4065894,0.59341055
54,1,1,2,0,0.4787293,0.52127075,0.52127075,0.31695774,0.68304235
55,1,1,1,1,0.5574717,0.44252828,0.5574717,0.38285714,0.61714286
56,1,1,2,0,0.39318168,0.6068183,0.6068183,0.2840922,0.7159078
57,1,1,1,1,0.74418974,0.25581023,0.74418974,0.4866107,0.5133892
58,1,1,2,0,0.41639906,0.58360094,0.58360094,0.43973124,0.56026876
59,1,1,1,1,0.5706325,0.42936745,0.5706325,0.5226174,0.47738263
60,1,1,1,1,0.69701165,0.30298826,0.69701165,0.51061815,0.48938185
61,1,1,1,1,0.62285346,0.3771465,0.62285346,0.33642057,0.66357946
62,1,1,2,0,0.1426114,0.8573886,0.8573886,0.6659415,0.33405846
63,1,1,2,0,0.22217137,0.77782863,0.77782863,0.66533375,0.33466625
